rainfall_mm_24h,soil_moisture_pct,slope_deg,temperature_c,landslide_occurred
94.1,69.3,33.7,19.3,1
127.6,43.7,25.3,32.8,0
82.7,14.8,9.8,19.9,0
74.0,31.5,19.0,21.2,0
138.6,60.1,38.7,18.0,1
78.9,49.1,3.8,20.9,0
105.6,73.7,58.0,25.8,1
98.5,61.5,54.7,18.3,1
138.5,56.9,6.9,7.3,0
64.8,25.5,52.4,23.1,0
170.8,82.2,21.1,13.5,1
52.8,28.8,5.9,24.5,0
110.4,39.7,19.8,20.0,0
101.6,40.4,48.9,25.7,0
49.0,17.2,40.6,14.3,0
116.8,43.6,15.8,16.8,0
68.6,34.3,43.7,18.0,1
36.6,37.9,43.1,11.1,1
127.0,47.1,45.1,26.7,1
25.5,11.2,33.4,10.2,0
42.6,11.4,49.5,26.6,0
82.0,43.0,39.2,22.5,0
137.9,55.3,9.3,18.8,0
121.8,43.8,49.0,22.1,1
93.1,37.7,20.8,21.9,1
18.2,29.2,42.9,17.6,0
50.9,49.4,41.2,21.8,0
60.1,25.7,21.5,24.4,0
35.1,29.8,11.4,14.3,0
13.6,34.9,42.3,22.1,1
84.9,31.9,51.2,4.2,1
124.4,50.9,50.6,8.4,1
56.5,33.7,38.3,23.4,0
136.7,38.4,15.2,17.5,1
22.6,27.7,20.3,14.9,0
33.3,28.7,45.8,19.7,1
83.6,47.6,25.8,17.6,0
52.8,19.0,44.5,14.1,1
117.5,49.5,19.9,10.2,1
104.8,62.8,2.4,8.2,1
55.8,58.9,37.0,24.4,1
24.8,41.6,36.9,17.5,0
50.9,18.6,38.4,25.8,0
106.5,52.0,17.6,17.4,0
120.7,44.4,49.0,22.1,1
53.0,36.7,30.3,19.2,0
13.5,14.1,46.2,20.3,0
21.4,5.0,37.4,20.6,0
100.7,41.0,26.1,17.3,0
55.1,42.4,41.4,12.6,1
56.1,37.5,35.3,24.6,0
32.8,33.0,31.6,29.6,0
32.2,30.7,39.6,30.0,0
135.2,58.6,7.0,16.7,0
103.2,52.1,54.8,15.6,1
45.5,28.1,21.4,16.7,0
79.3,40.8,15.0,18.9,1
89.3,63.3,46.8,19.7,0
211.8,74.7,15.4,14.0,1
29.9,28.0,59.8,11.1,0
88.5,43.4,26.4,20.3,0
134.7,51.1,19.2,-1.2,1
196.2,63.8,5.6,19.4,0
43.6,33.4,4.4,14.3,0
54.6,27.6,7.5,24.7,0
118.3,47.8,2.3,26.3,1
17.9,15.0,21.0,26.4,0
94.7,45.0,20.0,17.9,0
261.1,92.3,26.9,13.2,0
101.7,42.9,15.5,15.1,0
6.8,5.0,5.6,21.7,0
37.0,36.3,6.1,10.1,0
44.8,32.6,12.6,28.4,0
155.5,47.0,20.4,18.0,0
66.2,45.8,10.6,23.0,1
13.7,6.6,23.2,9.3,0
71.9,50.5,55.5,14.4,1
82.8,40.0,17.2,8.6,0
49.6,5.2,11.8,26.1,0
31.7,30.1,40.6,19.0,0
279.1,84.9,30.5,23.4,1
135.0,47.1,4.7,20.4,0
143.2,46.9,47.7,22.8,1
66.3,35.0,43.5,18.0,1
43.0,24.9,58.7,18.8,0
51.6,10.6,56.4,19.4,0
22.6,40.9,35.9,22.4,0
209.2,69.4,41.8,22.6,1
68.3,28.3,25.8,36.9,1
179.3,51.3,53.5,30.1,1
53.6,42.6,34.1,9.3,0
102.8,30.1,20.9,19.1,0
86.2,43.1,2.6,17.6,0
